policy_no;class;start_date;end_date;premium;premium_re
14877;102;2020-02-07;2021-02-07;45835;0
14878;305;2020-01-18;2021-01-18;22900;0
14879;308;2020-12-25;2021-12-26;21104;0
14880;102;2020-11-03;2021-11-04;33299;0
14881;102;2020-04-25;2021-04-26;25834;0
14882;306;2020-03-03;2021-03-04;22000;0
14883;307;2020-05-06;2021-05-07;37592;0
14884;308;2020-11-25;2021-11-26;14493;0
14885;101;2020-01-26;2021-01-26;18468;0
14886;306;2020-03-28;2021-03-29;16819;781
14887;301;2020-11-13;2021-11-14;12395;0
14888;301;2020-08-13;2021-08-14;26100;0
14889;306;2020-12-18;2021-12-19;24372;14613
14890;307;2020-03-14;2021-03-15;38743;0
14891;305;2020-11-08;2021-11-09;41948;0
14892;101;2020-06-04;2021-06-05;38690;0
14893;101;2020-11-20;2021-11-21;17723;0
14894;307;2020-10-21;2021-10-22;17981;13811
14895;102;2020-06-28;2021-06-29;26751;17725
14896;306;2020-11-07;2021-11-08;28194;3718
14897;301;2020-09-23;2021-09-24;44125;0
14898;101;2020-12-13;2021-12-14;21097;0
14899;102;2020-12-09;2021-12-10;48716;0
14900;101;2020-09-30;2021-10-01;25076;0
14901;305;2020-05-07;2021-05-08;29628;13954
14902;306;2020-02-22;2021-02-22;13166;6619
14903;101;2020-02-10;2021-02-10;35481;0
14904;307;2020-06-02;2021-06-03;33306;2291
14905;102;2020-12-11;2021-12-12;37780;0
14906;305;2020-11-30;2021-12-01;35399;0
14907;308;2020-05-01;2021-05-02;27144;0
14908;308;2020-11-05;2021-11-06;34267;25512
14909;102;2020-12-06;2021-12-07;14377;0
14910;301;2020-01-30;2021-01-30;41276;3277
14911;308;2020-03-16;2021-03-17;26941;0
14912;306;2020-09-26;2021-09-27;25673;0
14913;307;2020-05-17;2021-05-18;36079;0
14914;101;2020-04-09;2021-04-10;37979;0
14915;102;2020-08-27;2021-08-28;23336;0
14916;305;2020-01-08;2021-01-08;18693;8279
14917;307;2020-08-16;2021-08-17;29768;0
14918;305;2020-06-07;2021-06-08;37610;0
14919;102;2020-06-07;2021-06-08;11017;0
14920;101;2020-09-24;2021-09-25;21228;0
14921;307;2020-03-21;2021-03-22;42540;33917
14922;308;2020-07-20;2021-07-21;15547;0
14923;101;2020-09-13;2021-09-14;36423;0
14924;306;2020-10-07;2021-10-08;39369;20962
14925;101;2020-11-26;2021-11-27;17051;0
14926;101;2020-03-15;2021-03-16;23411;0
14927;306;2020-04-18;2021-04-19;21771;0
14928;307;2020-09-05;2021-09-06;29361;0
14929;308;2020-05-16;2021-05-17;21527;0
14930;306;2020-10-01;2021-10-02;33635;0
14931;307;2020-01-16;2021-01-16;47424;29255
14932;101;2020-05-15;2021-05-16;24440;0
14933;308;2020-05-19;2021-05-20;22230;0
14934;307;2020-11-23;2021-11-24;37717;0
14935;306;2020-07-10;2021-07-11;28458;0
14936;301;2020-10-02;2021-10-03;13667;0
14937;306;2020-05-06;2021-05-07;13597;0
14938;301;2020-12-21;2021-12-22;15238;0
14939;102;2020-09-22;2021-09-23;24185;4588
14940;308;2020-07-11;2021-07-12;39505;0
14941;301;2020-09-17;2021-09-18;11002;1120
14942;102;2020-12-25;2021-12-26;23386;0
14943;306;2020-11-10;2021-11-11;37524;15984
14944;307;2020-12-19;2021-12-20;11139;0
14945;305;2020-07-09;2021-07-10;28037;0
14946;308;2020-07-01;2021-07-02;31861;0
14947;301;2020-10-23;2021-10-24;36744;0
14948;102;2020-09-04;2021-09-05;21637;0
14949;102;2020-01-20;2021-01-20;25312;0
14950;308;2020-01-05;2021-01-05;26539;0
14951;301;2020-08-31;2021-09-01;33265;13621
14952;308;2020-09-11;2021-09-12;16637;0
14953;301;2020-06-14;2021-06-15;13722;0
14954;307;2020-08-31;2021-09-01;32086;26544
14955;301;2020-09-20;2021-09-21;19751;0
14956;308;2020-06-04;2021-06-05;37621;0
14957;305;2020-09-28;2021-09-29;25565;0
14958;305;2020-12-07;2021-12-08;23564;0
14959;102;2020-08-21;2021-08-22;35952;0
14960;305;2020-07-07;2021-07-08;37004;0
14961;306;2020-10-27;2021-10-28;12071;0
14962;305;2020-04-01;2021-04-02;19593;0
14963;301;2020-10-08;2021-10-09;30410;0
14964;305;2020-04-06;2021-04-07;42944;0
14965;301;2020-06-28;2021-06-29;16164;5527
14966;101;2020-11-13;2021-11-14;18528;0
14967;308;2020-09-22;2021-09-23;48394;0
14968;308;2020-05-03;2021-05-04;30574;0
14969;301;2020-03-26;2021-03-27;24127;0
14970;102;2020-05-27;2021-05-28;40337;0
14971;301;2020-12-05;2021-12-06;15300;11131
14972;307;2020-06-29;2021-06-30;45068;0
14973;306;2020-07-29;2021-07-30;15061;0
14974;308;2020-06-23;2021-06-24;37037;10634
14975;306;2020-01-19;2021-01-19;30560;0
14976;307;2020-01-25;2021-01-25;30193;0
14977;308;2020-04-04;2021-04-05;13619;0
14978;305;2020-09-27;2021-09-28;18427;1747
14979;101;2020-12-26;2021-12-27;40339;20779
14980;301;2020-01-18;2021-01-18;41773;0
14981;305;2020-02-24;2021-02-24;47696;25913
14982;305;2020-12-02;2021-12-03;45920;0
14983;308;2020-12-01;2021-12-02;33564;22394
14984;101;2020-09-15;2021-09-16;38103;0
14985;306;2020-03-16;2021-03-17;31325;0
14986;305;2020-04-19;2021-04-20;18357;0
14987;306;2020-09-23;2021-09-24;33164;0
14988;308;2020-05-16;2021-05-17;38962;12872
14989;306;2020-02-01;2021-02-01;44813;3902
14990;305;2020-09-30;2021-10-01;39772;24460
14991;306;2020-11-28;2021-11-29;20251;0
14992;102;2020-12-20;2021-12-21;21127;0
14993;301;2020-09-12;2021-09-13;34119;0
14994;301;2020-01-18;2021-01-18;19570;13863
14995;306;2020-10-26;2021-10-27;12762;0
14996;307;2020-07-23;2021-07-24;22296;6099
14997;102;2020-04-15;2021-04-16;24895;0
14998;308;2020-04-06;2021-04-07;14332;0
14999;101;2020-01-26;2021-01-26;12972;0
15000;305;2020-09-17;2021-09-18;44033;0
15001;308;2020-10-03;2021-10-04;30850;0
15002;305;2020-11-05;2021-11-06;39135;33094
15003;301;2020-05-01;2021-05-02;43704;10876
15004;101;2020-01-07;2021-01-07;43843;20807
15005;301;2020-02-24;2021-02-24;47199;0
15006;101;2020-02-12;2021-02-12;26172;0
15007;307;2020-01-31;2021-01-31;12617;0
15008;301;2020-09-14;2021-09-15;33556;22178
15009;301;2020-09-02;2021-09-03;20023;0
15010;301;2020-11-27;2021-11-28;30484;16558
15011;102;2020-05-02;2021-05-03;16331;0
15012;101;2020-11-28;2021-11-29;44419;0
15013;307;2020-06-15;2021-06-16;12683;0
15014;307;2020-05-09;2021-05-10;30814;24226
15015;305;2020-10-03;2021-10-04;13758;0
15016;305;2020-04-30;2021-05-01;28806;0
15017;305;2020-09-03;2021-09-04;46440;0
15018;101;2020-04-30;2021-05-01;43930;0
15019;306;2020-04-21;2021-04-22;39863;19886
15020;102;2020-04-13;2021-04-14;23796;0
15021;101;2020-06-30;2021-07-01;24413;0
15022;306;2020-01-01;2021-01-01;25506;0
15023;301;2020-07-10;2021-07-11;32352;0
15024;305;2020-04-10;2021-04-11;32266;0
15025;102;2020-03-13;2021-03-14;12812;0
15026;301;2020-05-25;2021-05-26;26700;14299
15027;308;2020-08-03;2021-08-04;14175;3592
15028;307;2020-02-25;2021-02-25;11847;2553
15029;305;2020-04-02;2021-04-03;28685;0
15030;308;2020-08-10;2021-08-11;15673;0
15031;307;2020-10-15;2021-10-16;39692;0
15032;308;2020-09-07;2021-09-08;31778;0
15033;307;2020-11-30;2021-12-01;21594;0
15034;307;2020-01-13;2021-01-13;27071;0
15035;301;2020-06-13;2021-06-14;35206;0
15036;102;2020-03-26;2021-03-27;28943;0
15037;307;2020-10-15;2021-10-16;49895;0
15038;307;2020-07-14;2021-07-15;22982;11223
15039;306;2020-10-19;2021-10-20;38768;0
15040;308;2020-03-12;2021-03-13;33478;0
15041;305;2020-05-22;2021-05-23;11453;0
15042;308;2020-04-29;2021-04-30;49661;0
15043;305;2020-10-21;2021-10-22;41768;40276
15044;305;2020-04-11;2021-04-12;48666;0
15045;305;2020-05-05;2021-05-06;45611;0
15046;308;2020-01-28;2021-01-28;36926;0
15047;307;2020-06-19;2021-06-20;45435;0
15048;102;2020-08-31;2021-09-01;49200;0
15049;101;2020-05-11;2021-05-12;20639;0
15050;301;2020-05-30;2021-05-31;29595;8260
15051;308;2020-09-08;2021-09-09;14377;11296
15052;305;2020-06-19;2021-06-20;34585;0
15053;306;2020-03-16;2021-03-17;23860;0
15054;308;2020-10-30;2021-10-31;21196;0
15055;102;2020-09-21;2021-09-22;29800;0
15056;308;2020-09-17;2021-09-18;35373;0
15057;305;2020-06-21;2021-06-22;32598;0
15058;307;2020-03-31;2021-04-01;38613;0
15059;306;2020-04-29;2021-04-30;29135;0
15060;308;2020-04-21;2021-04-22;22019;0
15061;305;2020-08-08;2021-08-09;13989;0
15062;308;2020-05-30;2021-05-31;15204;0
15063;101;2020-02-14;2021-02-14;46993;0
15064;307;2020-02-04;2021-02-04;25004;0
15065;306;2020-05-12;2021-05-13;46129;0
15066;102;2020-12-16;2021-12-17;23717;0
15067;301;2020-04-07;2021-04-08;24666;0
15068;305;2020-09-09;2021-09-10;36513;0
15069;101;2020-06-27;2021-06-28;44531;0
15070;308;2020-12-27;2021-12-28;22888;18750
15071;301;2020-09-25;2021-09-26;20672;1626
15072;308;2020-04-10;2021-04-11;32756;27926
15073;306;2020-09-27;2021-09-28;29560;24357
15074;305;2020-06-05;2021-06-06;20124;0
15075;101;2020-04-30;2021-05-01;16942;0
15076;102;2020-06-29;2021-06-30;32858;0
15077;308;2020-02-08;2021-02-08;25311;0
15078;102;2020-02-11;2021-02-11;27714;0
15079;307;2020-12-17;2021-12-18;31152;0
15080;101;2020-09-08;2021-09-09;21421;0
15081;305;2020-12-20;2021-12-21;39647;0
15082;307;2020-10-20;2021-10-21;23606;0
15083;301;2020-11-02;2021-11-03;25103;0
15084;301;2020-04-07;2021-04-08;30964;0
15085;307;2020-12-21;2021-12-22;24569;0
15086;306;2020-10-18;2021-10-19;16980;0
15087;305;2020-08-21;2021-08-22;35482;21782
15088;307;2020-12-04;2021-12-05;25018;0
15089;307;2020-09-21;2021-09-22;34618;0
15090;301;2020-12-21;2021-12-22;19661;0
15091;102;2020-04-01;2021-04-02;14830;0
15092;305;2020-10-13;2021-10-14;31812;0
15093;305;2020-04-07;2021-04-08;12243;0
15094;102;2020-06-30;2021-07-01;40252;0
15095;307;2020-11-12;2021-11-13;49945;37764
15096;307;2020-12-02;2021-12-03;41634;0
15097;305;2020-08-22;2021-08-23;15649;0
15098;305;2020-12-04;2021-12-05;24811;0
15099;101;2020-11-21;2021-11-22;35757;25780
15100;301;2020-09-25;2021-09-26;38707;0
15101;102;2020-02-24;2021-02-24;23236;0
15102;301;2020-04-22;2021-04-23;26577;0
15103;102;2020-08-14;2021-08-15;46564;13136
15104;301;2020-08-10;2021-08-11;26096;0
15105;306;2020-06-05;2021-06-06;33202;0
15106;101;2020-07-23;2021-07-24;10646;6842
15107;102;2020-06-13;2021-06-14;31116;0
15108;305;2020-08-06;2021-08-07;35421;0
15109;101;2020-01-10;2021-01-10;20637;0
15110;102;2020-08-21;2021-08-22;16035;0
15111;301;2020-05-10;2021-05-11;22856;0
15112;305;2020-03-13;2021-03-14;45205;0
15113;301;2020-12-14;2021-12-15;39986;0
15114;101;2020-06-24;2021-06-25;24070;0
15115;308;2020-08-01;2021-08-02;46939;21719
15116;101;2020-03-18;2021-03-19;22458;0
15117;308;2020-08-25;2021-08-26;49583;0
15118;301;2020-11-23;2021-11-24;48910;0
15119;308;2020-07-19;2021-07-20;49512;0
15120;306;2020-02-19;2021-02-19;30014;0
15121;102;2020-05-16;2021-05-17;45287;0
15122;305;2020-05-06;2021-05-07;10291;0
15123;306;2020-04-04;2021-04-05;34126;0
15124;301;2020-11-20;2021-11-21;33653;0
15125;305;2020-01-06;2021-01-06;28439;0
15126;101;2020-01-31;2021-01-31;26436;0
15127;306;2020-06-16;2021-06-17;35513;0
15128;308;2020-07-29;2021-07-30;47459;0
15129;308;2020-07-02;2021-07-03;12433;1831
15130;306;2020-05-16;2021-05-17;31013;0
15131;306;2020-05-21;2021-05-22;23750;0
15132;307;2020-08-23;2021-08-24;23792;0
15133;308;2020-10-27;2021-10-28;37312;0
15134;102;2020-09-14;2021-09-15;45848;0
15135;101;2020-04-18;2021-04-19;23848;0
15136;308;2020-04-01;2021-04-02;31254;0
15137;307;2020-07-15;2021-07-16;28392;17263
15138;306;2020-06-29;2021-06-30;41612;0
15139;102;2020-07-17;2021-07-18;28540;0
15140;306;2020-04-14;2021-04-15;34326;0
15141;101;2020-01-14;2021-01-14;38225;0
15142;301;2020-11-14;2021-11-15;28549;13615
15143;306;2020-10-05;2021-10-06;14524;0
15144;307;2020-02-09;2021-02-09;17396;0
15145;306;2020-01-26;2021-01-26;10736;8565
15146;306;2020-05-05;2021-05-06;25458;0
15147;307;2020-03-05;2021-03-06;18200;2795
15148;308;2020-05-30;2021-05-31;21985;0
15149;101;2020-01-24;2021-01-24;28616;0
15150;102;2020-05-28;2021-05-29;47994;0
15151;306;2020-04-20;2021-04-21;38526;0
15152;101;2020-11-06;2021-11-07;36764;0
15153;305;2020-06-27;2021-06-28;11901;11042
15154;301;2020-07-21;2021-07-22;38525;26199
15155;306;2020-05-12;2021-05-13;19958;0
15156;305;2020-08-30;2021-08-31;46741;0
15157;301;2020-07-10;2021-07-11;27001;0
15158;101;2020-05-29;2021-05-30;49037;16990
15159;308;2020-10-14;2021-10-15;25332;0
15160;301;2020-10-07;2021-10-08;44355;0
15161;301;2020-03-27;2021-03-28;43964;0
15162;307;2020-03-15;2021-03-16;17287;0
15163;301;2020-04-18;2021-04-19;34675;0
15164;305;2020-11-15;2021-11-16;32181;0
15165;101;2020-04-23;2021-04-24;13496;7166
15166;102;2020-04-05;2021-04-06;47841;0
15167;306;2020-04-13;2021-04-14;19822;0
15168;305;2020-04-27;2021-04-28;10444;0
15169;101;2020-12-28;2021-12-29;22764;0
15170;306;2020-08-02;2021-08-03;19986;0
15171;308;2020-03-29;2021-03-30;16814;0
15172;301;2020-12-27;2021-12-28;28736;0
15173;102;2020-02-23;2021-02-23;27238;0
15174;301;2020-05-24;2021-05-25;32142;0
15175;102;2020-09-24;2021-09-25;13145;0
15176;101;2020-03-26;2021-03-27;21783;0
15177;306;2020-05-30;2021-05-31;22732;0
15178;102;2020-08-03;2021-08-04;44449;0
15179;301;2020-06-17;2021-06-18;36553;0
15180;301;2020-07-12;2021-07-13;38268;0
15181;308;2020-02-09;2021-02-09;17121;0
15182;101;2020-08-06;2021-08-07;47806;20059
15183;301;2020-09-02;2021-09-03;49110;20840
15184;306;2020-12-29;2021-12-30;41084;0
15185;308;2020-07-28;2021-07-29;34792;0
15186;305;2020-09-24;2021-09-25;23776;0
15187;305;2020-11-26;2021-11-27;10151;0
15188;305;2020-11-17;2021-11-18;38100;8803
15189;101;2020-02-20;2021-02-20;45028;0
15190;306;2020-04-06;2021-04-07;27716;26593
15191;301;2020-02-01;2021-02-01;15305;0
15192;306;2020-08-15;2021-08-16;15823;0
15193;307;2020-08-28;2021-08-29;15543;0
15194;301;2020-11-27;2021-11-28;47826;0
15195;306;2020-08-24;2021-08-25;39799;0
15196;307;2020-10-21;2021-10-22;24628;0
15197;102;2020-07-29;2021-07-30;36851;0
15198;101;2020-08-29;2021-08-30;49824;0
15199;306;2020-03-19;2021-03-20;21607;10735
15200;307;2020-07-07;2021-07-08;49936;0
15201;102;2020-02-17;2021-02-17;41833;0
15202;102;2020-10-09;2021-10-10;49392;0
15203;305;2020-01-01;2021-01-01;47778;0
15204;306;2020-11-27;2021-11-28;15209;0
15205;102;2020-12-24;2021-12-25;26907;0
15206;101;2020-07-04;2021-07-05;12127;0
15207;306;2020-11-01;2021-11-02;17215;0
15208;102;2020-12-09;2021-12-10;16263;0
15209;102;2020-12-16;2021-12-17;42658;0
15210;102;2020-12-29;2021-12-30;18275;12211
15211;307;2020-09-08;2021-09-09;12998;0
15212;308;2020-05-29;2021-05-30;37734;0
15213;305;2020-06-28;2021-06-29;30212;16633
15214;305;2020-02-03;2021-02-03;20199;0
15215;308;2020-06-24;2021-06-25;22018;0
15216;102;2020-12-10;2021-12-11;48833;44323
15217;301;2020-06-30;2021-07-01;23314;1841
15218;307;2020-02-26;2021-02-26;13082;0
15219;305;2020-09-13;2021-09-14;45614;0
15220;306;2020-06-17;2021-06-18;30575;0
15221;305;2020-10-19;2021-10-20;36873;8214
15222;305;2020-08-21;2021-08-22;21983;0
15223;101;2020-07-27;2021-07-28;12425;0
15224;102;2020-02-25;2021-02-25;25869;0
15225;308;2020-06-28;2021-06-29;26620;0
15226;102;2020-03-08;2021-03-09;38291;0
15227;308;2020-10-10;2021-10-11;42136;0
15228;306;2020-01-27;2021-01-27;31843;0
15229;307;2020-08-14;2021-08-15;34523;1395
15230;307;2020-04-01;2021-04-02;27638;0
15231;301;2020-11-11;2021-11-12;41062;0
15232;101;2020-04-12;2021-04-13;26041;5559
15233;307;2020-10-22;2021-10-23;22244;0
15234;308;2020-11-26;2021-11-27;42475;0
15235;101;2020-08-16;2021-08-17;31385;0
15236;306;2020-02-27;2021-02-27;22868;0
15237;301;2020-01-19;2021-01-19;31783;0
15238;301;2020-12-08;2021-12-09;31119;15193
15239;307;2020-06-11;2021-06-12;19733;16537
15240;307;2020-07-31;2021-08-01;14296;0
15241;308;2020-07-30;2021-07-31;10068;2804
15242;305;2020-01-03;2021-01-03;43539;0
15243;306;2020-05-10;2021-05-11;31607;25466
15244;305;2020-09-07;2021-09-08;13317;0
15245;301;2020-06-16;2021-06-17;38959;0
15246;308;2020-04-05;2021-04-06;12041;0
15247;101;2020-05-04;2021-05-05;47718;0
15248;307;2020-04-11;2021-04-12;14313;11803
15249;102;2020-04-26;2021-04-27;23561;0
15250;306;2020-11-24;2021-11-25;38403;37587
15251;306;2020-08-23;2021-08-24;19834;0
15252;305;2020-09-02;2021-09-03;18562;0
15253;102;2020-07-20;2021-07-21;33503;0
15254;102;2020-06-16;2021-06-17;15189;0
15255;306;2020-05-26;2021-05-27;49604;0
15256;101;2020-11-22;2021-11-23;24727;0
15257;307;2020-09-04;2021-09-05;35569;0
15258;308;2020-07-16;2021-07-17;44421;0
15259;101;2020-10-02;2021-10-03;41633;0
15260;306;2020-05-19;2021-05-20;32206;26204
15261;101;2020-05-18;2021-05-19;13967;0
15262;101;2020-01-20;2021-01-20;34196;0
15263;301;2020-05-14;2021-05-15;30317;8728
15264;101;2020-10-08;2021-10-09;13594;7587
15265;305;2020-02-08;2021-02-08;41080;0
15266;102;2020-01-27;2021-01-27;22748;0
15267;301;2020-06-23;2021-06-24;11380;6135
15268;306;2020-02-09;2021-02-09;22736;14371
15269;308;2020-06-18;2021-06-19;32551;0
15270;306;2020-12-23;2021-12-24;14008;0
15271;308;2020-12-27;2021-12-28;40878;12833
15272;306;2020-02-26;2021-02-26;19920;0
15273;307;2020-10-26;2021-10-27;49784;0
15274;305;2020-01-27;2021-01-27;37638;0
15275;308;2020-11-19;2021-11-20;37242;0
15276;307;2020-06-11;2021-06-12;42748;16271
15277;301;2020-04-17;2021-04-18;34768;0
15278;306;2020-06-22;2021-06-23;21040;0
15279;307;2020-12-20;2021-12-21;25477;0
15280;307;2020-01-25;2021-01-25;10500;0
15281;305;2020-06-20;2021-06-21;42172;0
15282;305;2020-12-20;2021-12-21;49637;20845
15283;102;2020-01-27;2021-01-27;29913;0
15284;101;2020-03-17;2021-03-18;25702;0
15285;306;2020-07-23;2021-07-24;13877;0
15286;301;2020-02-28;2021-02-28;36192;1054
15287;306;2020-09-10;2021-09-11;16888;0
15288;305;2020-11-14;2021-11-15;41831;0
15289;102;2020-01-22;2021-01-22;44053;0
15290;308;2020-03-14;2021-03-15;36332;0
15291;307;2020-09-21;2021-09-22;36592;0
15292;308;2020-12-27;2021-12-28;20743;0
15293;308;2020-06-23;2021-06-24;33742;0
15294;301;2020-10-26;2021-10-27;21342;0
15295;308;2020-08-11;2021-08-12;40204;0
15296;306;2020-02-10;2021-02-10;13995;0
15297;305;2020-09-03;2021-09-04;48974;22968
15298;307;2020-08-27;2021-08-28;43845;0
15299;102;2020-07-27;2021-07-28;38736;0
15300;306;2020-01-15;2021-01-15;20398;0
15301;306;2020-12-04;2021-12-05;10487;1312
15302;308;2020-02-20;2021-02-20;18023;0
15303;101;2020-07-08;2021-07-09;42897;41487
15304;101;2020-12-22;2021-12-23;42716;0
15305;308;2020-01-19;2021-01-19;36202;0
15306;308;2020-04-07;2021-04-08;41618;35625
15307;305;2020-06-01;2021-06-02;36078;25078
15308;101;2020-12-28;2021-12-29;40702;0
15309;306;2020-12-18;2021-12-19;49027;0
15310;308;2020-01-11;2021-01-11;25619;0
15311;102;2020-07-06;2021-07-07;36784;0
15312;307;2020-09-21;2021-09-22;13750;0
15313;101;2020-02-12;2021-02-12;45794;0
15314;305;2020-02-01;2021-02-01;31502;22198
15315;307;2020-02-02;2021-02-02;28605;0
15316;308;2020-06-14;2021-06-15;37491;0
15317;306;2020-08-29;2021-08-30;19462;0
15318;102;2020-01-01;2021-01-01;28649;0
15319;101;2020-12-11;2021-12-12;28005;0
15320;102;2020-04-16;2021-04-17;18993;0
15321;307;2020-11-13;2021-11-14;16949;0
15322;301;2020-05-25;2021-05-26;30111;0
15323;102;2020-03-17;2021-03-18;15837;0
15324;305;2020-09-24;2021-09-25;19946;0
15325;101;2020-12-26;2021-12-27;16553;0
15326;307;2020-01-28;2021-01-28;37550;0
15327;305;2020-08-07;2021-08-08;42237;34113
15328;306;2020-10-12;2021-10-13;27068;0
15329;101;2020-11-26;2021-11-27;35382;824
15330;301;2020-07-13;2021-07-14;29605;0
15331;306;2020-05-03;2021-05-04;45165;0
15332;308;2020-05-17;2021-05-18;18812;0
15333;305;2020-05-01;2021-05-02;33139;0
15334;307;2020-06-07;2021-06-08;11908;0
15335;102;2020-01-25;2021-01-25;34043;7044
15336;305;2020-07-26;2021-07-27;23356;0
15337;101;2020-10-29;2021-10-30;23605;23119
15338;308;2020-04-06;2021-04-07;27299;0
15339;306;2020-06-06;2021-06-07;29411;0
15340;101;2020-10-12;2021-10-13;34848;0
15341;102;2020-11-02;2021-11-03;39605;0
15342;307;2020-05-12;2021-05-13;15583;0
15343;305;2020-03-25;2021-03-26;35892;0
15344;308;2020-12-26;2021-12-27;34085;0
15345;301;2020-03-10;2021-03-11;11249;0
15346;102;2020-05-04;2021-05-05;44081;11781
15347;307;2020-08-14;2021-08-15;27576;0
15348;307;2020-05-18;2021-05-19;18105;0
15349;307;2020-01-10;2021-01-10;45039;0
15350;307;2020-12-05;2021-12-06;22104;0
15351;101;2020-01-31;2021-01-31;26872;0
15352;101;2020-02-24;2021-02-24;43739;0
15353;305;2020-10-30;2021-10-31;38569;0
15354;307;2020-04-01;2021-04-02;30270;0
15355;306;2020-03-05;2021-03-06;11555;0
15356;308;2020-04-17;2021-04-18;43061;30097
15357;307;2020-04-12;2021-04-13;40969;0
15358;101;2020-01-16;2021-01-16;16042;0
15359;301;2020-05-03;2021-05-04;17273;0
15360;301;2020-08-30;2021-08-31;19524;0
15361;102;2020-02-17;2021-02-17;36533;0
15362;307;2020-11-22;2021-11-23;20208;7397
15363;102;2020-01-22;2021-01-22;17738;0
15364;306;2020-01-11;2021-01-11;10551;0
15365;306;2020-07-26;2021-07-27;43643;39571
15366;308;2020-06-24;2021-06-25;17843;0
15367;102;2020-11-07;2021-11-08;11760;0
15368;301;2020-09-13;2021-09-14;19625;0
15369;102;2020-10-08;2021-10-09;16023;0
15370;301;2020-03-20;2021-03-21;10146;0
15371;102;2020-10-16;2021-10-17;46571;0
15372;307;2020-09-10;2021-09-11;12497;0
15373;301;2020-10-05;2021-10-06;36374;0
15374;308;2020-05-17;2021-05-18;23391;0
15375;301;2020-09-03;2021-09-04;24916;0
15376;305;2020-04-01;2021-04-02;26596;0
15377;102;2020-04-09;2021-04-10;23554;0
15378;307;2020-11-22;2021-11-23;27064;0
15379;306;2020-12-16;2021-12-17;19707;0
15380;307;2020-02-02;2021-02-02;15050;8369
15381;305;2020-03-29;2021-03-30;28907;0
15382;305;2020-08-24;2021-08-25;18819;17882
15383;305;2020-02-04;2021-02-04;28757;0
15384;101;2020-05-20;2021-05-21;11896;0
15385;308;2020-05-04;2021-05-05;19289;0
15386;308;2020-12-09;2021-12-10;32591;0
15387;308;2020-04-18;2021-04-19;23220;0
15388;308;2020-11-24;2021-11-25;29997;0
15389;306;2020-01-20;2021-01-20;40248;0
15390;307;2020-12-30;2021-12-31;33585;0
15391;301;2020-01-25;2021-01-25;46457;0
15392;102;2020-07-29;2021-07-30;15848;3674
15393;102;2020-06-29;2021-06-30;45499;0
15394;101;2020-03-20;2021-03-21;15004;0
15395;301;2020-05-21;2021-05-22;26225;0
15396;102;2020-06-01;2021-06-02;41245;15902
15397;301;2020-08-22;2021-08-23;46751;0
15398;308;2020-04-28;2021-04-29;13756;0
15399;301;2020-12-06;2021-12-07;36387;0
15400;306;2020-05-29;2021-05-30;36628;0
15401;307;2020-11-13;2021-11-14;26146;0
15402;102;2020-05-29;2021-05-30;17387;0
15403;101;2020-04-13;2021-04-14;20387;0
15404;307;2020-01-04;2021-01-04;36287;0
15405;308;2020-11-24;2021-11-25;41147;0
15406;308;2020-05-09;2021-05-10;37952;22431
15407;308;2020-07-13;2021-07-14;28916;0
15408;306;2020-02-11;2021-02-11;37266;0
15409;101;2020-10-28;2021-10-29;34161;31018
15410;101;2020-03-13;2021-03-14;22462;14099
15411;102;2020-04-12;2021-04-13;46911;0
15412;101;2020-10-12;2021-10-13;42692;0
15413;101;2020-07-19;2021-07-20;31226;0
15414;306;2020-08-11;2021-08-12;39048;0
15415;308;2020-07-18;2021-07-19;36058;0
15416;306;2020-06-07;2021-06-08;26048;0
15417;301;2020-06-07;2021-06-08;41468;0
15418;102;2020-03-08;2021-03-09;17316;0
15419;306;2020-10-16;2021-10-17;27854;0
15420;308;2020-11-05;2021-11-06;25924;0
15421;301;2020-11-19;2021-11-20;40200;24613
15422;307;2020-06-16;2021-06-17;11655;0
15423;306;2020-07-23;2021-07-24;23273;0
15424;307;2020-11-26;2021-11-27;12482;0
15425;307;2020-04-02;2021-04-03;16407;12869
15426;308;2020-08-04;2021-08-05;33481;6018
15427;307;2020-05-24;2021-05-25;18920;0
15428;301;2020-11-24;2021-11-25;21109;0
15429;301;2020-10-15;2021-10-16;15045;0
15430;102;2020-05-23;2021-05-24;11956;0
15431;307;2020-12-31;2022-01-01;22932;0
15432;306;2020-09-02;2021-09-03;46340;24475
15433;306;2020-01-04;2021-01-04;47852;0
15434;102;2020-03-03;2021-03-04;41186;0
15435;307;2020-03-26;2021-03-27;31845;0
15436;305;2020-01-26;2021-01-26;42897;0
15437;306;2020-07-27;2021-07-28;15376;0
15438;306;2020-11-10;2021-11-11;27999;0
15439;101;2020-10-31;2021-11-01;32892;0
15440;101;2020-07-16;2021-07-17;15682;0
15441;301;2020-09-07;2021-09-08;23872;0
15442;308;2020-03-14;2021-03-15;38715;0
15443;308;2020-06-23;2021-06-24;25524;0
15444;301;2020-09-12;2021-09-13;15528;0
15445;307;2020-02-07;2021-02-07;11969;0
15446;101;2020-10-25;2021-10-26;34718;0
15447;301;2020-12-03;2021-12-04;26849;0
15448;307;2020-12-13;2021-12-14;43308;13236
15449;308;2020-06-06;2021-06-07;44825;0
15450;101;2020-12-24;2021-12-25;23812;0
15451;301;2020-08-23;2021-08-24;44906;24496
15452;305;2020-06-12;2021-06-13;16133;3209
15453;301;2020-02-08;2021-02-08;26392;2176
